Sentence,Length
sorry  in meeting ill call you later,36
yo howz u girls never rang after india l,40
yeah but which is worse for i,29
i tagged my friends that you seemed to count as your friends,60
ok,2
long time you remember me today,31
havent shopping now lor i juz arrive only,41
thank u it better work out cause i will feel used otherwise,59
are you up for the challenge i know i am ,41
how much did ur hdd casing cost,31
mystery solved just opened my email and hes sent me another batch isnt he a sweetie,83
i cant describe how lucky you are that im actually awake by noon,64
today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault im basically good,141
cheers for the card  is it that time of year already,52
when people see my msgs they think iam addicted to msging they are wrong bcoz they dont know that iam addicted to my sweet friends bslvyl,137
ugh hopefully the asus ppl dont randomly do a reformat,54
havent seen my facebook huh lol,31
mah b ill pick it up tomorrow,29
still otside leu come morrow maga,33
do u still have plumbers tape and a wrench we could borrow,58
it vl bcum more difficult,25
havent still waitin as usual мп come back sch oredi,51
in meeting da i will call you,29
k k  then watch some films,26
does cinema plus drink appeal tomo  is a fr thriller by director i like on at mac at ,85
there the size of elephant tablets  u shove um up ur ass,56
so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life ends take cr da,155
my parents my kidz my friends n my colleagues all screaming surprise  and i was waiting on the sofa    naked,108
dunno i juz askin cos i got a card got  off  a salon called hair sense so i tot its da one м cut ur hair ,105
good morning pookie pie lol hope i didnt wake u up,50
maybe if you woke up before fucking  this wouldnt be a problem,62
happy birthday to youdearwith lots of loverakhesh nri,53
howz that persons story,23
x  ltgt  are you going to get that,34
hi neva worry bout da truth coz the truth will lead me  ur heart itехs the least a unique person like u deserve sleep tight or morning,134
is ur paper today in e morn or aft,34
i will lick up every drop  are you ready to use your mouth as well,66
and you will expect you whenever you text hope all goes well tomo ,66
great p diddy is my neighbor and comes for toothpaste every morning,67
i av a new number   wil u only use this oneta,45
so its to be poking man everyday that they teach you in canada abi how are you just saying hi,93
 lor change  suntec wat time u coming,37
no deam seeing in online shop so that i asked,45
just curious because my cuz asked what i was up to,50
nicenicehow is it working,25
okay lor wah like that def they wont let us go haha what did they say in the terms and conditions,97
haha yup hopefully  we will lose a few kg by mon after hip hop can go orchard and weigh again,93
shes good how are you where r u working now,43
oh yes ive just been a little under the weather so ive kind of been coccooning at home,86
at home also,12
this phone has the weirdest auto correct,40
oops my phone died and i didnt even know yeah i like it better,62
havent mus ask if u can st wat of meet  lunch den u n him meet can already lor or u wan  go ask da ge st then confirm w me asap,127
she said do u mind if i go into the bedroom for a minute   ok i sed in a sexy mood she came out  minuts latr wid a caken my wife,128
oh yeahand hav a great time in newquaysend me a postcard  look after all the girls while im goneu know the im talkin boutxx,123
we got a divorce lol shes here,30
whats ur pin,12
babe have you got enough money to pick up bread and milk  and ill give you it back when you get home ,101
i want snow its just freezing and windy,39
come to mahal bus stop ltdecimalgt,34
don knowthis week im going to tirunelvai da,43
me too baby i promise to treat you well i bet you will take good care of me,75
its like that hotel dusk game i think you solve puzzles in a area thing,71
hi my love how goes that day fuck this morning i woke and dropped my cell on the way down the stairs but it seems alright  phews i miss you ,140
well that must be a pain to catch,33
sorry da thangamits my mistake,30
i need coz i never go before ,29
rose for redred for bloodblood for heartheart for u but u for me send tis to all ur friends including me if u like me if u get back u r poor in relation u need some  to support u r frnd  many some luvs u  some is praying god to marry u try it,242
wifehow she knew the time of murder exactly,43
i feel like a dick because i keep sleeping through your texts and facebook messages sup you in town,99
no plm i will come da on the way,32
guess he wants alone time we could just show up and watch when they do,70
height of recycling read twice people spend time for earning money and the same money is spent for spending time good morning keep smiling,138
yup м not comin ,16
yes princess toledo,19
aight text me when youre back at mu and ill swing by need somebody to get the door for me,89
ron say fri leh n he said ding tai feng cant make reservations but he said wait lor,83
good no swimsuit allowed ,25
am okay will soon be over all the best,38
a cute thought for friendship its not necessary to share every secret with ur close frnd,88
ok ive sent u da latest version of da project,45
good morning my dear have a great amp successful day,52
pls accept me for one day or am begging you change the number,61
squeeeeeze this is christmas hug if u lik my frndshp den hug me back if u get  u r cute  u r luvd  u r so lucky none people hate u,130
